train/test,algorithm,correct,incorrect,%correct,train-time(secs),test-time(secs),iterations
train,SA,80.0,3593.0,2.178,0.889,0.034,10
test,SA,17.0,1208.0,1.388,0.889,0.070,10
train,RHC,1410.0,2263.0,38.388,1.286,0.069,10
test,RHC,580.0,645.0,47.347,1.286,0.023,10
train,SA,136.0,3537.0,3.703,2.320,0.059,25
test,SA,34.0,1191.0,2.776,2.320,0.007,25
train,RHC,1616.0,2057.0,43.997,2.447,0.072,25
test,RHC,581.0,644.0,47.429,2.447,0.007,25
train,SA,3.0,3670.0,0.082,3.736,0.026,50
test,SA,1.0,1224.0,0.082,3.736,0.006,50
train,RHC,1618.0,2055.0,44.051,3.889,0.047,50
test,RHC,579.0,646.0,47.265,3.889,0.006,50
train,RHC,1617.0,2056.0,44.024,6.414,0.037,100
test,RHC,580.0,645.0,47.347,6.414,0.005,100
train,SA,366.0,3307.0,9.965,6.408,0.035,100
test,SA,71.0,1154.0,5.796,6.408,0.006,100
train,RHC,1618.0,2055.0,44.051,10.012,0.032,200
test,RHC,581.0,644.0,47.429,10.012,0.034,200
train,SA,1618.0,2055.0,44.051,10.345,0.040,200
test,SA,581.0,644.0,47.429,10.345,0.026,200
train,GA,784.0,2889.0,21.345,12.637,0.028,10
test,GA,292.0,933.0,23.837,12.637,0.023,10
train,RHC,1617.0,2056.0,44.024,21.217,0.033,500
test,RHC,580.0,645.0,47.347,21.217,0.007,500
train,SA,1616.0,2057.0,43.997,21.459,0.024,500
test,SA,581.0,644.0,47.429,21.459,0.005,500
train,GA,921.0,2752.0,25.075,26.650,0.019,25
test,GA,295.0,930.0,24.082,26.650,0.004,25
train,RHC,1604.0,2069.0,43.670,35.224,0.015,1000
test,RHC,587.0,638.0,47.918,35.224,0.005,1000
train,SA,1617.0,2056.0,44.024,35.645,0.015,1000
test,SA,581.0,644.0,47.429,35.645,0.005,1000
train,GA,1242.0,2431.0,33.814,45.216,0.018,50
test,GA,455.0,770.0,37.143,45.216,0.008,50
train,SA,1617.0,2056.0,44.024,50.525,0.015,2000
test,SA,581.0,644.0,47.429,50.525,0.005,2000
train,RHC,1638.0,2035.0,44.596,50.992,0.013,2000
test,RHC,583.0,642.0,47.592,50.992,0.003,2000
train,GA,1311.0,2362.0,35.693,77.049,0.013,100
test,GA,550.0,675.0,44.898,77.049,0.004,100
train,GA,1561.0,2112.0,42.499,136.015,0.016,200
test,GA,579.0,646.0,47.265,136.015,0.007,200
train,GA,1615.0,2058.0,43.970,284.249,0.012,500
test,GA,581.0,644.0,47.429,284.249,0.005,500
train,GA,1614.0,2059.0,43.942,473.769,0.011,1000
test,GA,581.0,644.0,47.429,473.769,0.004,1000
train,GA,1618.0,2055.0,44.051,681.454,0.009,2000
test,GA,579.0,646.0,47.265,681.454,0.003,2000
