train-RHC,1609.0,2064.0,43.806,0.849,0.048,10
test-RHC,566.0,659.0,46.204,0.849,0.021,10
train-SA,34.0,3639.0,0.926,0.837,0.139,10
test-SA,8.0,1217.0,0.653,0.837,0.045,10
train-RHC,1587.0,2086.0,43.207,1.604,0.076,25
test-RHC,568.0,657.0,46.367,1.604,0.023,25
train-SA,0.0,3673.0,0.000,1.602,0.076,25
test-SA,0.0,1225.0,0.000,1.602,0.080,25
train-RHC,1614.0,2059.0,43.942,3.048,0.033,50
test-RHC,544.0,681.0,44.408,3.048,0.007,50
train-SA,0.0,3673.0,0.000,3.049,0.038,50
test-SA,0.0,1225.0,0.000,3.049,0.023,50
train-SA,33.0,3640.0,0.898,4.414,0.035,100
test-SA,7.0,1218.0,0.571,4.414,0.008,100
train-RHC,1603.0,2070.0,43.643,4.861,0.034,100
test-RHC,571.0,654.0,46.612,4.861,0.006,100
train-RHC,1619.0,2054.0,44.078,7.052,0.038,200
test-RHC,574.0,651.0,46.857,7.052,0.013,200
train-SA,2.0,3671.0,0.054,7.180,0.019,200
test-SA,0.0,1225.0,0.000,7.180,0.006,200
train-GA,1002.0,2671.0,27.280,8.494,0.024,10
test-GA,255.0,970.0,20.816,8.494,0.006,10
train-RHC,1634.0,2039.0,44.487,11.401,0.017,500
test-RHC,582.0,643.0,47.510,11.401,0.006,500
train-SA,1571.0,2102.0,42.772,11.508,0.019,500
test-SA,562.0,663.0,45.878,11.508,0.003,500
train-GA,1192.0,2481.0,32.453,18.026,0.013,25
test-GA,392.0,833.0,32.000,18.026,0.004,25
train-GA,1328.0,2345.0,36.156,32.032,0.014,50
test-GA,262.0,963.0,21.388,32.032,0.006,50
train-GA,1328.0,2345.0,36.156,56.236,0.016,100
test-GA,277.0,948.0,22.612,56.236,0.004,100
train-GA,1620.0,2053.0,44.106,93.696,0.011,200
test-GA,582.0,643.0,47.510,93.696,0.004,200
train-GA,1617.0,2056.0,44.024,155.152,0.009,500
test-GA,579.0,646.0,47.265,155.152,0.003,500
