percent-correct,iterations
17.388,10
16.163,20
25.224,50
44.653,100
47.429,500
47.347,1000
24.735,10
24.898,20
2.367,50
45.143,100
47.429,500
47.429,1000
36.898,10
34.612,20
38.531,50
35.837,100
47.429,500
47.429,1000
26.286,10
39.102,20
37.714,50
46.694,100
47.265,500
46.939,1000
27.755,10
17.224,20
17.061,50
37.551,100
47.347,500
47.429,1000
35.265,10
35.184,20
27.755,50
47.429,100
47.347,500
47.429,1000
26.041,10
18.286,20
38.286,50
47.347,100
47.347,500
47.429,1000
12.163,10
33.469,20
34.857,50
28.735,100
47.347,500
47.918,1000
29.306,10
32.571,20
47.265,50
31.184,100
47.429,500
47.429,1000
14.857,10
22.776,20
44.163,50
39.429,100
47.429,500
47.347,1000
41.224,10
5.878,20
17.306,50
36.082,100
46.612,500
47.429,1000
