algorithm	correct	incorrect	percent-correct	train-time	test-time	iterations
RHC	254.0	971.0	20.735	0.774	0.009	10
SA	0.0	1225.0	0.000	0.979	0.046	10
SA	0.0	1225.0	0.000	1.324	0.060	20
RHC	270.0	955.0	22.041	1.457	0.007	20
RHC	581.0	644.0	47.429	2.845	0.012	50
SA	5.0	1220.0	0.408	2.790	0.027	50
SA	32.0	1193.0	2.612	4.802	0.006	100
RHC	581.0	644.0	47.429	4.835	0.006	100
GA	213.0	1012.0	17.388	8.838	0.007	10
RHC	581.0	644.0	47.429	13.889	0.006	500
SA	581.0	644.0	47.429	14.320	0.006	500
GA	198.0	1027.0	16.163	16.331	0.014	20
SA	581.0	644.0	47.429	21.264	0.007	1000
RHC	581.0	644.0	47.429	21.600	0.005	1000
GA	309.0	916.0	25.224	34.565	0.006	50
GA	547.0	678.0	44.653	59.334	0.004	100
GA	581.0	644.0	47.429	218.450	0.006	500
GA	580.0	645.0	47.347	322.513	0.005	1000
SA	328.0	897.0	26.776	0.938	0.038	10
RHC	570.0	655.0	46.531	1.037	0.074	10
SA	0.0	1225.0	0.000	1.535	0.007	20
RHC	581.0	644.0	47.429	1.748	0.007	20
SA	3.0	1222.0	0.245	3.037	0.007	50
RHC	581.0	644.0	47.429	3.064	0.021	50
SA	2.0	1223.0	0.163	4.641	0.006	100
RHC	579.0	646.0	47.265	4.766	0.006	100
GA	303.0	922.0	24.735	8.985	0.007	10
SA	578.0	647.0	47.184	13.856	0.007	500
RHC	581.0	644.0	47.429	14.056	0.006	500
GA	305.0	920.0	24.898	16.188	0.006	20
SA	575.0	650.0	46.939	20.749	0.004	1000
RHC	582.0	643.0	47.510	20.896	0.005	1000
GA	29.0	1196.0	2.367	34.662	0.004	50
GA	553.0	672.0	45.143	58.907	0.004	100
GA	581.0	644.0	47.429	211.245	0.004	500
GA	581.0	644.0	47.429	314.526	0.003	1000
RHC	576.0	649.0	47.020	0.895	0.026	10
SA	368.0	857.0	30.041	1.051	0.025	10
RHC	581.0	644.0	47.429	1.501	0.008	20
SA	569.0	656.0	46.449	1.529	0.014	20
SA	41.0	1184.0	3.347	2.473	0.007	50
RHC	575.0	650.0	46.939	2.806	0.007	50
RHC	570.0	655.0	46.531	4.786	0.007	100
SA	0.0	1225.0	0.000	4.784	0.045	100
GA	452.0	773.0	36.898	8.660	0.010	10
RHC	577.0	648.0	47.102	13.675	0.006	500
SA	538.0	687.0	43.918	14.386	0.009	500
GA	424.0	801.0	34.612	16.352	0.007	20
RHC	580.0	645.0	47.347	21.921	0.006	1000
SA	579.0	646.0	47.265	22.258	0.003	1000
GA	472.0	753.0	38.531	33.809	0.004	50
GA	439.0	786.0	35.837	57.925	0.004	100
GA	581.0	644.0	47.429	211.808	0.004	500
GA	581.0	644.0	47.429	317.319	0.003	1000
SA	580.0	645.0	47.347	0.940	0.031	10
RHC	505.0	720.0	41.224	0.919	0.058	10
RHC	573.0	652.0	46.776	1.319	0.008	20
SA	200.0	1025.0	16.327	1.597	0.035	20
SA	201.0	1024.0	16.408	2.577	0.008	50
RHC	559.0	666.0	45.633	2.756	0.016	50
RHC	430.0	795.0	35.102	4.005	0.019	100
SA	37.0	1188.0	3.020	4.222	0.007	100
GA	322.0	903.0	26.286	8.391	0.008	10
SA	577.0	648.0	47.102	13.525	0.006	500
RHC	579.0	646.0	47.265	13.723	0.006	500
GA	479.0	746.0	39.102	15.479	0.005	20
RHC	579.0	646.0	47.265	20.757	0.005	1000
SA	578.0	647.0	47.184	20.973	0.003	1000
GA	462.0	763.0	37.714	32.969	0.004	50
GA	572.0	653.0	46.694	57.552	0.004	100
GA	579.0	646.0	47.265	211.834	0.004	500
GA	575.0	650.0	46.939	316.165	0.004	1000
SA	202.0	1023.0	16.490	0.738	0.011	10
RHC	369.0	856.0	30.122	1.106	0.008	10
SA	200.0	1025.0	16.327	1.412	0.007	20
RHC	369.0	856.0	30.122	1.405	0.031	20
SA	35.0	1190.0	2.857	2.567	0.014	50
RHC	239.0	986.0	19.510	2.724	0.008	50
RHC	578.0	647.0	47.184	4.061	0.007	100
SA	34.0	1191.0	2.776	4.182	0.012	100
GA	340.0	885.0	27.755	9.044	0.006	10
SA	573.0	652.0	46.776	13.966	0.006	500
RHC	579.0	646.0	47.265	14.333	0.005	500
GA	211.0	1014.0	17.224	16.015	0.007	20
SA	585.0	640.0	47.755	20.547	0.005	1000
RHC	579.0	646.0	47.265	21.214	0.004	1000
GA	209.0	1016.0	17.061	33.334	0.006	50
GA	460.0	765.0	37.551	58.753	0.004	100
