algorithm,iterations,time
GA,5,15.390
GA,5,16.628
GA,5,18.656
GA,10,29.136
GA,10,29.961
GA,10,32.887
GA,20,53.340
GA,20,56.065
GA,20,56.276
GA,30,78.263
GA,30,80.663
GA,30,81.064
GA,40,100.106
GA,40,100.593
GA,40,99.566
GA,50,116.791
GA,50,118.205
GA,100,174.550
GA,100,174.723
GA,200,249.814
GA,200,249.946
GA,500,448.090
GA,500,449.525
GA,1000,735.049
GA,1000,735.899
GA,1500,927.799
GA,1500,928.073
RHC,5,2.133
RHC,5,2.160
RHC,5,2.164
RHC,10,2.651
RHC,10,4.580
RHC,10,5.052
RHC,20,10.767
RHC,20,9.610
RHC,20,9.839
RHC,30,11.907
RHC,30,11.933
RHC,30,12.378
RHC,40,16.992
RHC,40,17.063
RHC,40,18.485
RHC,50,19.679
RHC,50,22.535
RHC,100,34.143
RHC,100,35.650
RHC,200,54.126
RHC,200,56.018
RHC,500,92.048
RHC,500,93.746
RHC,1000,127.606
RHC,1000,128.055
RHC,1500,147.416
RHC,1500,148.549
SA,5,2.234
SA,5,2.713
SA,5,3.102
SA,10,4.554
SA,10,4.593
SA,10,5.100
SA,20,7.329
SA,20,7.877
SA,20,9.485
SA,30,13.006
SA,30,14.657
SA,30,14.689
SA,40,16.149
SA,40,19.682
SA,40,20.350
SA,50,20.101
SA,50,22.389
SA,100,32.760
SA,100,36.817
SA,200,50.504
SA,200,56.269
SA,500,90.886
SA,500,93.636
SA,1000,124.716
SA,1000,127.715
SA,1500,147.255
SA,1500,147.971
Backprop,5,1.155
Backprop,5,1.174
Backprop,5,1.421
Backprop,10,2.446
Backprop,10,3.054
Backprop,10,3.386
Backprop,20,7.387
Backprop,20,7.544
Backprop,20,8.611
Backprop,30,11.343
Backprop,30,13.252
Backprop,30,13.832
Backprop,40,15.319
Backprop,40,17.243
Backprop,40,20.932
Backprop,50,20.785
Backprop,50,21.869
Backprop,100,34.086
Backprop,100,36.800
Backprop,200,57.705
Backprop,200,58.476
Backprop,500,96.753
Backprop,500,98.912
Backprop,1000,137.095
Backprop,1000,138.696
Backprop,1500,158.431
Backprop,1500,158.852
